QuestionId,question_text,correct_answer_kaggle,AnswerAText,AnswerBText,AnswerCText,AnswerDText,p_correct,total_responses,b_rasch,source,a_2pl,b_2pl
332,"Tom and Katie are discussing how to solve:
\(
\frac{x}{3}-5=12
\)

Tom says a correct next line of working could be: \( \frac{x}{3}=17 \)

Katie says a correct next line of working could be: \( x-5=36 \)
Who is correct?",A,"Only
Tom",Only Katie,Both Tom and Katie,Neither is correct,0.8774193548387097,155,-1.9682159065696117,original_20,0.30422605465259256,-5.178584840256915
1702,"This is a part of the table of values for the equation
\[
10 x-6 y=30
\] \begin{tabular}{|l|l|}
\hline\( x \) & \( \bigstar \) \\
\hline\( y \) & \( 0.5 \) \\
\hline
\end{tabular} What should replace the star?",C,\( 4.25 \),\( -4.25 \),\( 3.3 \),\( 2.7 \),0.8476190476190476,105,-1.7160476474923585,original_20,1.543799629116696,-0.49966092940662105
934,"\begin{tabular}{|l|l|l|l|l|l|}
\hline\( x \) & \( 0 \) & \( 1 \) & \( 2 \) & \( 3 \) & \( 4 \) \\
\hline\( y \) & \( \color{gold}\bigstar \) &   
\end{tabular} This is a table of values for \( 4 x+2 y=10 \) 
What should replace the star?",C,\( 20 \),\( 3 \),\( 5 \),\( 2.5 \),0.7664835164835165,728,-1.1885605253310494,original_20,1.4369041398842834,-0.5220379219204255
1599,Which answer shows the following calculation using the correct algebraic convention? \( c \div(h+4) \),A,\( \frac{c}{h+4} \),\( \frac{c+4}{h+4} \),\( \frac{c}{h}+4 \),\( \frac{h+4}{c} \),0.9226190476190476,168,-2.478475759457709,original_20,0.5963138757469146,-3.3760100991652897
306,"Problem P: \( 4-5+6= \)
Problem Q: \( 4+5 \times 6= \)

Which calculation should you do first in each problem?",B,"Problem P: \( 4-5 \)
Problem Q: \( 4+5 \)","Problem P: \( 4-5 \)
Problem Q: \( 5 \times 6 \)","Problem P: \( 5+6 \)
Problem Q: \( 4+5 \)","Problem P: \( 5+6 \)
Problem Q: \( 5 \times 6 \)",0.7561837455830388,283,-1.1318695104245915,original_20,0.9127295573065691,-0.15798293177616118
202,\( 2 \frac{1}{5}+1 \frac{2}{5}= \) Leave your answer as a mixed number,A,\( 3 \frac{3}{5} \),\( \frac{18}{5} \),\( \frac{18}{10} \),\( 3 \frac{3}{10} \),0.8775510204081632,147,-1.9694406464655072,original_20,1.922746107012259,-0.23737530084039926
644,"Molly is expanding these two brackets.

What should she get when she multiplies the two terms indicated by the arrows? ![The brackets shown are (2p-1)(3p-4). The arrows are pointing at the -1 in the first bracket and the -4 in the second bracket.]()",A,\( +4 \),\( -4 \),\( +5 \),\( -5 \),0.9885057471264368,87,-4.454347296253509,original_20,10.0,-0.26171245437839136
1545,"\[
8+12 \div 4 \square(8+12) \div 4
\]
Which symbol belongs in the box?",A,\( > \),\( < \),\( = \),\( \geq \),0.8410462776659959,497,-1.6660335800577344,original_20,1.8286823556424718,-0.2891745509476537
1286,"A sphere has a volume of
\[
V \mathrm{~cm}^{3} \text {. }
\] ![A sphere with the radius labelled '?']() What is its radius?",C,\( \sqrt[3]{\frac{4 V \pi}{3}} \mathrm{~cm} \),\( \sqrt[3]{\frac{4 V}{3 \pi}} \mathrm{cm} \),\( \sqrt[3]{\frac{3 V}{4 \pi}} \mathrm{cm} \),\( \frac{3 \sqrt[3]{V}}{4 \pi} \mathrm{cm} \),0.6117455138662317,613,-0.4546553522989362,original_20,0.9006971762146508,0.06190150939553067
919,"This is a part of the table of values for the equation
\[y=3 x^{2}\] \begin{tabular}{|l|l|}
\hline\( x \) & \( 0.3 \) \\
\hline\( y \) & \( \bigstar \) \\
\hline
\end{tabular} What should replace the star?",B,\( 0.81 \),\( 0.27 \),\( 1.8 \),\( 2.7 \),0.75,68,-1.0986122886681098,original_20,1.1057085800409565,0.03396796319643369
