response_id,model,model_tier,spec_level,misconception_id,misconception_name,misconception_type,question_id,correct_answer,target_distractor,llm_answer,is_correct,hit_target,human_target_rate,rep,timestamp
1,gpt-4o,frontier,S1,1507,Carries out operations from left to right regardless of priority order,procedural,189,A,D,A,True,False,0.1286,1,2026-01-26T17:39:33.328420
2,claude-sonnet-4,frontier,S1,1507,Carries out operations from left to right regardless of priority order,procedural,189,A,D,A,True,False,0.1286,1,2026-01-26T17:39:35.100806
3,gpt-4o,frontier,S2,1507,Carries out operations from left to right regardless of priority order,procedural,189,A,D,A,True,False,0.1286,1,2026-01-26T17:39:36.502367
4,gpt-4o,frontier,S3,1507,Carries out operations from left to right regardless of priority order,procedural,189,A,D,A,True,False,0.1286,1,2026-01-26T17:39:40.863915
5,claude-sonnet-4,frontier,S2,1507,Carries out operations from left to right regardless of priority order,procedural,189,A,D,A,True,False,0.1286,1,2026-01-26T17:39:42.962168
6,gpt-4o,frontier,S4,1507,Carries out operations from left to right regardless of priority order,procedural,189,A,D,A,True,False,0.1286,1,2026-01-26T17:39:45.973866
7,claude-sonnet-4,frontier,S3,1507,Carries out operations from left to right regardless of priority order,procedural,189,A,D,D,False,True,0.1286,1,2026-01-26T17:39:51.750643
8,gpt-4o,frontier,S1,1507,Carries out operations from left to right regardless of priority order,procedural,233,C,A,C,True,False,0.7688,1,2026-01-26T17:39:56.080123
9,claude-sonnet-4,frontier,S4,1507,Carries out operations from left to right regardless of priority order,procedural,189,A,D,A,True,False,0.1286,1,2026-01-26T17:39:58.358072
10,gpt-4o,frontier,S2,1507,Carries out operations from left to right regardless of priority order,procedural,233,C,A,D,False,False,0.7688,1,2026-01-26T17:40:00.892623
11,gpt-4o,frontier,S3,1507,Carries out operations from left to right regardless of priority order,procedural,233,C,A,D,False,False,0.7688,1,2026-01-26T17:40:08.016256
12,claude-sonnet-4,frontier,S1,1507,Carries out operations from left to right regardless of priority order,procedural,233,C,A,C,True,False,0.7688,1,2026-01-26T17:40:08.899558
13,gpt-4o,frontier,S4,1507,Carries out operations from left to right regardless of priority order,procedural,233,C,A,D,False,False,0.7688,1,2026-01-26T17:40:18.411010
14,claude-sonnet-4,frontier,S2,1507,Carries out operations from left to right regardless of priority order,procedural,233,C,A,D,False,False,0.7688,1,2026-01-26T17:40:21.727520
15,gpt-4o,frontier,S1,1507,Carries out operations from left to right regardless of priority order,procedural,254,A,B,D,False,False,0.1235,1,2026-01-26T17:40:25.168793
16,claude-sonnet-4,frontier,S3,1507,Carries out operations from left to right regardless of priority order,procedural,233,C,A,B,False,False,0.7688,1,2026-01-26T17:40:30.677032
